comment,sentiment
بتقبل كلشي بس ماحدا يقلي انتو بتقولو بانجان مجقجق باللبن,G
يعطيك الف عافية الصفحة بتجنن وأنت حدا بجنن كتفكير وكشخص  شيلك عن الشي المفيد يلي عم تقدمو للناس بلا مقابل,P
كنت اخترت ليليان,N
ليه  لأ بهل  الوضع  اكيد,N
بس يفتحو التعليقات برد عليك ههههه,N
بعد يومين  عاجل عطل فني غير متوقع في مصفاية بانياس مما يؤدي الى تقنين سبعة بلمعة يلي متعود عليه عزيزي المواطن,G
دخيل ياربي تكون معها الحمدلله ماحدا بياكلها الا المرأة وياريت ببين,G
اي لكان سلمو على الشهداء طارو المصاري,N
كل مابشوف هيك صورة بتزكر أيامنا سوا,N
صفحتنا هتعجبكم جدا خدوا لفه مش هتخسروا حاجه وشكرا لكل الي دعمنا,P
أيضا أتوقع مكان الرمية الزرقاء للشخص المقتول تكون أسفل نقطة بالجسم البطن أو الظهر,N
يحق لها تدعس ببطنه,G
مثل يلي اكلتن عندك هذيك المرة,N
قتل قصد,N
السماعة ما عرفت ليش,N
المشكلة مو بالشخص اللي عم يتم التنمر عليه  المشكلة بعيون وروح المتنمر نفسو,N
لا اذا الشغلة مع دودة الامور بخير,N
هلق كل لحب ولاحترام اكيد بس فرحة ومرحة قصدي ديف وريدر شو يساوو عندكن,N
اش هالظلم حتى بالقانون مافي عدل,G
ما اختلفنا بس وين راح لكن رضا الام و الاب,N
انا من الناس يلي ما بحب اسمي بس ماما دايما بتحببني فيه ويوم بعد يوم عم حبو واتقبلو,P
بدنا خطوط  هواتف بجبلة  رميلة بدون  تفخ  قلب  واسطة,N
نفس عنا بس نحنا عنا ريحة الخراا لا بتخلي مدمن ولا مؤمن يازلمة,G
الحمدلله ما عنا غير من هالنوع ما بعمل شي بيكفي اني فهمانة شو عم يصير و بمشي عهالأساس,N
سلام عليها ما أحبت سلامنا,P
ومين هاد بهاء اليوسف يابعدي,G
ماشاء الله,P
ميوش ميوش,N
الفريق رجال باقي اسبوع الدوري,N
موفقين الحلوين,P
يا سيدي اكبر نعمه انو ستي ما كانت بتحبها وما علمتها لامي تعملها ضيعان الغاز اللي بينصرف عليها,G
مالي مفكره اصلا,N
عبيدة الله يوفقك يارب بتستاهل,P
الله يهنيكن فعلا انتو الوجه المشرق والحضاري الوحيد  بهالبلد  و  مافي احلى ولا ارقى من اعيادكن واحتفالاتكن الدينية وغير الدينية,P
أيييييه سمعنا كتير,N
علخبز السياحي طوابير اكتر فهدي بالنا,N
ياعفو الله,G
غير أنو مرفوض قانونآ,N
شو وينك,N
بغيب شوي برجع بلاقي حالي مكرشة ع شب ما بعرفو,N
هذا ما يسمى بالقتل الرحيم او قتل بدافع الشفقة,N
انا بشارك,P
حرفيا ولا تجي وحدة تكذبني,N
فريق القدم يا شبوووب اليوم رح يسكر السوووق,N
شرحتوه كني,N
اذا اشتغلت بالالمنيوم شهريتك  الف,N
طيب اذا قلت لأنثى أم شنب يعتبر مدح على أساس حكيك,G
هاي بل يونسيف مش بسوريا,N
هلق لاترفع دعوى عليه حلوه بحقك بالمحكمه رافع دعوى على ببغاء,N
ورود شامي   شروق الصباح ملائكة الهدى  ولي قلبي متتت تعو قلولي صح هالحكي ولا كزب,N
بالبيت وع نكد,G
يحق لكن ما يحق,N
بس انو ماعجبون الا بأفاميا حيث الشاطئ النظيف والروائح العبقة,G
تقدم خلي الصفحات اللي عملولا اكبر من حجما يتعلمو بقا انو ما كل ما الواحد علك بدنا ننشر عنو,G
و قرار المازوت و الخبز الاخير ما حدة سمع فيه,N
والله كويس عم نسمع كتير عم تصير هالقصة هالايام وكترانين هالآيات,N
لا للاكتئاب,N
طبعا محمد الغلطان اجباري لسى عم تسألو,N
طب ما انا كنت بدرس اطفال صغيرين وكلو تمام شو يلي بخليني اجي لهون وحاول افهم الغازكن,N
دولة فاشلة حسبي الله ونعم الوكيل,G
العقل زينة بس في عالم ما بتحب الاكسسوار,N
طبيعي الواحد يضحك وطبيعي يبكي بس اللي مو طبيعي إنو يتشاءم ويفكر بطاقة سلبية دائما,N
عيب ولووو,G
الف مبروك,P
العرس الاحد والدفن الاثنين,N
في حدى بعيد تجربة مرة تانية,G
ان شاءالله الف الف مبروك بالتوفيق والنجاح الدائم وعقبال تفوق البكالوريا,P
مي وفي ووجه حسن ليش ليهاجرو,P
نرجو من مديرية الهاتف تصليح الهواتف المعطلة لكي نستفاد من الانترنت الو هاتفي معطل اكتر من شهر ولا حياة لمن تنادي ارجو المساعدة ولكم الف شكر,G
اذا جارك حلقبل دقنك,N
لو سمحتوا بدي أسألكم الفريق بحاجة متطوعين,N
ياريت تكترو من هالبوستات,P
يا رب اول شي دقني وقع ابن عمي فوقي ونحنا ع البيسكليت,G
بس تكون الشهادة الها قيمة و بيضمنو للواحد ما يكبا بس يتخرج ساعتا يتطبق هيك قانون مالو معنى,G
غيدق أبو الحسن  شو رأيك,N
الله يجيرناا من هيك نااس بقلبا غل وحقد وغيرة وحسد اللهم ابعدهم عنناا,G
حلوين الله يسعدون ويهنيهن,P
مايا لاتعاقب,P
كل عام والجميع بخير,P
من عندي اذا الله عيشنا بذكرك فيه ب,N
يا لساني لاتسب,G
ميس الأسد  منشان تعرفي ليش بضل بركض ورا ولادك,N
الشباب لساهن عايشين الجو,G
ادمن الصفحة,N
عنا حوريات,N
اين الاسعار يامحترم بدك لاكات,G
والله شر البلية ما يضحك,G
المفروض اكلت رزة واحدة ونص جناح هههههه,N
تروي الجميل  المميز,P
الملك جورج وسوف,P
كيف تطويع,N
وزارة الخارجيه,N
سئ جدا,G
لا ابدا كانت البنت احلا,G
الركاب متفقين معوو هه مبينة,N
وينك مدور عليكي ههههه شهوني كون معن,P
مارشميلو ساخبر الله بكل شيء,G
كل عام و أنتم بخير,P
يصورها بالسناب احسن,N
المهم نهايه وحده,N
هي لح تتعاقب بس هاد مو قتل رحيم لان لازم يكون المرض ماله علاجه لتنطبق عليه نص الماده هون الكورونا صار الها علاج  هيك بظن بتمنى المعلومه الصحيحه تنشروها لنستفيد,G
بلتوفيق كرامة النسور الزرق اليوم يومك كرامة,P
اكيد شهرين وبسكروها متل العاده,G
عجقو بضهروو,N
شو هالمسخرة شي بيخجل,G
ولا فتاحلك علبة سردين,N
ممكن زوجة الاخ تكون تسسس انا رح اعطي مايا عذر مخفف,N
في بث,N
كيف فينا ننضم إلكم,N
أنو أبويي أقوى واحد بالعالم,P
ولاد بيقبلو هيك يا سياده الوزير,G
لما تطلب نصيحة من دكتورك بالجامعة,G
قصدن البندورة مو المخلل,N
موبس الكهربا,N
بشق صرو  فقط لا غير,G
ذكرتني بضيعة ضايعة لما ابو نادر هدد اسعد وجودة بغرامة  ليرة يوم راحو يخطفو بنت المختار,N
كان أحلا يوم بحياتي وانعملت قبل عيد ميلادي بتلت تيام فلهيك جد اتفاجئت,P
الله أعلم إلى متى  وتستمرررر,G
اي خلص بئى لفوها لهالسيره,G
لنلف ونرجع لكن,N
هلق اذا الفلم من هوليود ممكن اما اكيد ما رح يكون ضمن طبقات العين او انسجتها و شبكيتها شريط تحميض,N
اطمنو ما حدا رح يرجع بعد ما يشوف هالشوفات,G
طبعا بتتعاقب  سنه  وقليل عليها بحق اخ,G
انسيه والله يبعتلك شب احسن منو لا انتي رح تكوني مرتاحة ولا هو وحرام ينخرب بيت وحدة ما الها ذنب بشي,N
هاردلك لنسور,N
والله عيب دايما مننتقد شي نحنا ماخلقنا وأساسا ماخصنا في,G
ياشباب الفريق فيو مراكز ناقصة,G
السنة الجاي بتجي بهالوقت بدنا نطلع,N
قوم غسل وشك وفيق من الحلم,N
إذا برضاها لاء بس اذا اخدن غصبن عنا اي,N
يا الهي,N
يا قاتل,G
عم يقلدونا بس نحنا التوب والباقي فوتوشوب,N
بربكن بلا تفاهة بدال ما تشجعو ع هل شي انضربت جيوبنا الانفيه من ورا روايح العالم الي نسياني شي اسمو الحمام مزيل العرق وددرون والمحارم المعطرة عم نختنق بس نمشي بشارع لهيك عم نضل نلبس كمامات ودني خنق,G
زززززفت عندي,G
الف مبروك للجميع,P
انا بعرف اسمو سرفيس مو سربيس,N
ماعاد ينفع تجيبو كيك وتقسموه بين أحبابكون بالبيت وتتفاجؤ لحالكون,N
من باب تذكير,N
الله يحميه ويخليلك اياه,P
هاي حسبت الناس الطبيعيه يا غالي محمد اخي بياكل  وهوي بس عم يدوق,N
امانه اللي قاعد عم يتنمر ويعلك يحكيلنا شو انجازاتو وقت كان عمرو  غير انو كان يهوى ركوب الخيل,G
تسأل كمخفي اشخاص وتبقى مسؤوليتها الجزائية لكنها لا تعاقب لأنها تستفيد من عذر محل وهو اخفاء اخيها,N
هل الخيمة قعدة فيها راحة بال مابتنوصف,N
جيبولون الكهربا حلوان,N
دوريلو ع شي لمبة او نيون  او لدة والله يجمع راسين بالحلال,N
طلعو معي بسيارتي الخاصة عالراكب,N
والله لو كان أخي عمل شعرو هيك لكان نام برا شهر بلا أكل وشرب عقوبة,G
شو مشان,N
والله يا شباب الحالة تعبانة وما لا غير ربك الله يفرجها علينا جميعا راحت ايام الفراريج,G
جزاكم الله كل خير,P
وين بتحبي اخدك هالمرة,N
عشق زوجي وبناتي بثواني بكونو مخلصين الطنجره تعب وشغل ساعتين دقايق بس عندهم,N
يعطيكون ألف عافية يارب,P
اي زالله تزكرت رائد وقت نزلت سبحت بلليل مشالله ربي يحميك,P
فكرتها حاطة اصبعتها بفنجان القهوة,G
مافي مين يسمع حسبنا الله ونعم الوكيل,G
حدا معو رقمن صار عندي فضول اعرف شو مياكلو بس كلشي ما يكون أكل صيني,N
بعنا الكرامة لنحصل الخبز لاحصلنا خبز ولاضل عنا كرامة,G
شو دخل القانون بس,N
بيض عيون,N
خلونا نتأمل بسفر,N
علي الضاهر تعاقب بالاشغال الشاقة لمدة  سنة لانو القتل قصدا وليس عمدا لو انو في تخطيط مسبق للجريمة لكان القتل عمدا وحكمه إعدام,G
هند أحمد  بعد ما كنا علقانين كريتلك كلشي,N
هاي بحياتها ما تنقطع من العقيده,N
لك وين الكرامة,G
حيو دكتور عسان قصير,P
انا متنمر اذا انا موجود,G
مبرووك للنسور,P
لا ما بتنقبل,G
والحمير يلي بطلعو عالتلفزيون والراديو شو وضعهن,G
صارلي كم سنة ولحد الان ماقدرت اخد البكالوريا,G
الكرامة بطل الدوري وهذا  كافي لاسكات الحاقدين,P
ياسمين وصمود وتحدي,N
رجعوني لل ونسوني هنيك كرمال الله كل العالم بتحلم للمستقبل الانحن بنحلم نرجع لورا,G
اشرحولنا لان حصرتو لمخي ما طلعت بنتيجة,N
هاد علي اصلان,N
اه كمان جاراتى حبيباتى ربنا يعطيهن الصحة والعافية ام أم محمد وغزل وخالتو ام رامى حبيبتى وخالتو ام علاء ربنا يديم الحية بينا يارب احلى خوات,P
شو هالآية الجيسون ستاثام,G
بها الحالة لازم نسأل كرم وايه,N
لك ضحكي بعبك وسكتي يرحم بيك,G
وقال شو بتدوخ اذا قعدت من قدام وهديك خطيبا بغار بقلن حاسس حالي شوفيركن,G
اهم شي,N
طيب ابن المحترقة الي كاتب عالحيط ونازع المنظر كلو,G
يعني يلي خيرني حيرني,N
يا حرام,G
كان حلمي البسك بس لو لبستك هنافس برج خليفة,G
سبق ومرقت كتيرر بهيك حالات للأسف بحاول معهن مرة وتنين وتلاتة بحاول اتجنب بس للاسف الشخص السام شي كتير صعب وكتير فوق الخيال ف اخر شي بتنتهي العلاقة ب تخفيف تدريجيا لتنتهي,G
فكرة حلوة كتير,P
ما عاد طلعك صرت خاف مشان ما ادفع غرامة,G
ماأحلى الكورونا في بلد يطبخ معكرونة ويغني على دلعونالك ياصناع الفتن حلو عن الله الخلق البلد تبا لعيشة الكلاب شكلكم معتبرينا نحنا الشعب السوري من فصيلة الكلاب الجعارية لك عيب عيب عيب ياعمي اقطعو اكل شي ولابقا تذلونا,G
والعياذ بالله,G
الأشخاص يلي عندها أمراض نفسية شنيعة بتتنمر,G
اهلا وسهلا,P
اي والله بس وين الكهربا من  صباحا مقطوعه لحد الان,G
بل بيت جيب صحن وتعال,N
عم تطالبك يرفيقي  لك اخس,G
الله يحرقكن ياعصابات القتل واحد واحد,G
أعيد وأكرر,N
إنتو أكتر من فريق عيلة بكل معنى الكلمة,P
وقفت اعمال البشر,G
ما بوقع ولا عندي هالسوسة,N
ياحماعه الله تامر بالوسط لحالو شو بدو يعمل,G
هي مو دور الوكالة تبع الفلسطينية,N
وهي حق الخبزااااات واصل,N
الله يرجعنا عبلادنا ورح نعمل احلا منو الله كريم,P
والله ازا بيحلف عالقرآن مارح يسدقو مديرو,G
صعب بس منحاول,N
يا حرام بس,G
العائلة أولا,P
الله يرحمو ويحنن قلوب العالم على بعضا,G
اتركيه شوو جابر تاخدي واحد عندو جيش ولاد خدي واحد عزابي و طززز بالحب و اللي بحب اتركي لجدبةة مرتووو اللي مو مهتمة بحالها تلاقي الزلمةة بنام جمب خميس النجار مش مرآة,G
وحش يانسر,P
ناقصو المجتمع شوية موديلات هيك منشان تكمل,G
بالتوفيق ان شاء الله,P
وبعد اول ايام بالشهر بيصير يمص ب اصبعو,G
ممكن ايكي,N
ولك راتب راح خبز واجره طريق واااعيني انت,G
صح وانا قريتها من قبل واحكيها لاشخاص بعرفهم بس هم مايغيرو معلوماتهم ااقديمه,N
يعني بدكون تفهمونا انو انتو عم تحاول,G
عنجد فكرة أنك ما بقا بتعرف اللي قدامك شو بفكر ونيته الحقيقية اتجاهك وقدرته على إخفاء اللي جواتو اتجاهك وبأي لحظة بيفصل القاطع براسو موضوع مرعبالله يرحمها,G
رخي حالك,N
سبحو الشعب بموضوع الصالة والملعب يارفيقي,N
وانا عم اقرا الكومينتات عم دور ع هدول تبع حرام و ما بصير بس ما كنت متوقع انو هيك يطلع شكلن صلاة السيدة بتخلص بساعة اوك وبعدين,G
ركزي عالطول والقرارات اهم شي,N
سؤال صغير ممكن تجاوبو عليه بمصداقية السلة الغذائية للجرحى في المحافظة ليش عم تتقلص مين المسؤول عن هالشي اكيد ماعم تجي من برا البلد هيك,G
دكافي خبصتونا احنة ميتين حر وهذا يبجي واذا بجة احنة هم نبجي فد اعجوبة يعني,G
عمر دياب,N
هيك التوجه حاليا ازمة مواصلات وطاقة منشان يضل المواطن شغلو الشاغل هل قصص,G
اكيد مو  الف سوري,N
الله يعينه,G
يميميمي والله طيبة,P
هي مشان ماتضلو لحالكون,N
يخرب ديارن لبين وصلت لاخر القصه وقف البي قال تابوت قال فعلا قله العقل مصيبه,G
كلن طيبين وازا كانو مع قشقوان لسا  غير شكل,P
عبد الحليم حافظ,N
مال سايب منهوب و بدهم يعوضوه بربطة خبز الفقير,G
لن يضيع حق بسوريه الحمد الله حتا اسئله الامتحان ما عاد فينا ناخدها,G
بالارادة والايمان والصبر مافي شي مستحيل الله يشفيكي ويشفيها لبنتي ويشفي كل مريضيااارب,P
راح الحلم معها تركني وغااااب,G
ما ألك غير وزير الكهرباء,N
بارك الله فيكم وبكم,P
عالتخدير طبعا,N
يالله مو بس هالاشيا الطرقات الشجر المباني المناطق السياحية البيوت التاريخية المولات وحتى العابهم غير والميكاب غير,G
لله يشفيها يارب,G
عكتر الاهتمام مضيعتا,N
ضربك ضربيه لك قلبي لشو فاتحين محاكم و عم نشتغل ما تقصري في بمقلاية التيفال فرغو عن انفسكن,G
ما قدمت ولا وحدةتاركتن للرابعة,N
يا سلاااام,P
عم تلمحو لشي,N
الحمدلله على سلامتها الله لا يضرها ولا يضر اي شخص ويحطو بهل موقف يالطيف,G
ساوي من هل ياسمينات زهورات اذا لاقيت غاز,G
وباخد لمصاري وما برتبها,N
بس لو فاتحين التعليق بالصور,N
بدول برى صارت  بالشوارع بالباصات كلها مجاني عن من تتحدث مثلا عن موزمبيق ام الصومال,G
ما حدا مصبرني الا هي الله يطول بعمر امهات الجميع,P
ولله  بس مفيش مصدر ولاحاجة جدعنة مني,N
يا بتاع الاكل الانهيلثي,N
الحقيقه اقنعتني,N
مابحقلو كان لازم يفحصها مبظوط قبل ما ياخدا هي انكم فيها وطلع فيها زنار نضافة,N
بتتذكر شقد ربحت وقتها,N
ارجيها لعلوش,N
لا ما بصير بأيام الجمع والاحاد والاعياد,N
لا ابدا ما بصير,N
ماخرب هالبلد غير اجتهاد اصحاب المناصب بقرارات بتلعن ابو المواطن واخر شي بيطلع حرامي ابن حرامي صاحب هالمنصب  بيضب شي كم مليار وبيهرب,G
يالطيف شو عم يصير,G
وضيفي على هشغلات الكهربا,N
رضيت حلبون عالشام,N
حتى أنت يافيروز  يارمز الأمل,G
بردا وسلاما,N
ليك يا صديقي انت حكيت كلمة حلوة انو بالإجتهاد والسعي,P
لو انشرى بالمصاري فيول وصار في كهربا زيادة ما احسن,N
يعطيكم الف الف عافية,P
هلق انتو نفس النساء يلي بتحكوا انو الوشم حرام,N
للنو مافي كاجو مشان يلعبو دحاحيل,N
الحق عالقناة المستقبلتو وعالمذيعة اللي متحاورو وما حطتطلو حد,G
جيل فاشل بكل ماتعني الكلمة هذه حلاقة القزعة نهى عنها رسولنا الكريم اليهود كانو ومازالو يحلقون هذه الحلاقة الوسخة,G
الفاصلة معناتا الكرامة,N
لطفا تابعونا عبر إنستغرام,N
كلو طيب بس اذا خيروني بختار الجبنه,P
تحياتنا للأستاذ عادل جبيلي,P
عم تساوي عقيدة كل يوم بجوز,N
برأيي اختصر كل هاد,N
باين من صوتو متلبك مو عرفان يحكي,N
لو كان للكلاب دعاءا مستجابا لأمطرت السماء عظاما,G
لساتني هون,N
مباراة جميلة دفاعنا رائع هجومنا ممتاز ينقصنا صانع ألعاب وفي ملاحظة صغيرة فريقنا لايملك بنش قوي جلأ لاعبين احتياط من فريق الشباب بالتوفيق للنادينا الغالي,P
متل يلي بيعملو عيد ميلاد بعد العرس انو قال هلأ حتى عاشو,G
لا يا شباب,N
خلص بقا دبقتو لهالاسم,G
نفس مكان الصورة انطخيتو بالدنكة,N
فسر للمغتربين شو يعني ريجميات مشان يتحسرو و يعرفو شو راح عليهم ويموتو قهر,G
عمو في أسلحة برمائية بتملك مدى متر تحت الماء,N
الشوام يقعدوا يتفرجوا عالتعليقات,N
ابدا ابدا مو عيب,N
شو مسابقة مين اسمو قبل  التنين الن فضل كبير و كل واحد بطريقتو مارح يقصر الله يخليلنا ياهن,P
كون محلو برقعو بدل الاعتذار كم جملة لخليه  ايام مسكر انترنيت,G
حرام يلي عم يعملوه بالعالم,G
لك كيف حب ع مرتو بكرا بحب عليكي ولك جدبة هاد ما فيه خير,G
كورونا رجعت الحدود وبين كل مدينة لا تتفائلوا كثيرررر,G
شو رائيك,N
الرحمة و السلام لروحك الطاهرة الطيبة,G
كس ام الكذاب,G
عيد شو,N
مااحلاه بس المشكلة إني طويلة مابقدر البس هيك شي,N
حاسة دمشق صايرة الهند,N
هادا يلي اجى رئيس الحكومة منشانو مهيك والله بيستاهل شي اوبهامعو حق,G
معك كم كلمة صح  بشرفك صلحن و اعملن غلط,N
احسن من العجقة,N
عالبرندة مع المحاضرات ومتة المعلمة دلال نور,N
لطفك يا الله,G
شفت أنو أطيب من إي شي تاني,P
يلعن مخهن بيستاهلو اكتر من هيك,G
نحنا ماعنا شي اسمه سرعة انترنت,G
والأحلا أنك تكون عم تشوفن وعم تتمنى مع الطف حدا بالكون,P
حصرا تنور الشيخ بدر مقرنات بزيت حصرا كمان طعم ولا بالخيال بس للاسف انتسى الخيال,P
الله يعطيكن العافية منورة احلى كوتش زينب,P
لا تعاقب لانه يستفيد من عز محل اذا كان الجناة المخبؤون من اصولهم او فروعهم او زواجهم او زوجاتهم المطلقات او اشقائهم او شقيقاتهم او اصهارهم من الدرجات نفسها  استجابه لوقائع الحياه الاجتماعيه والعلاقات لاسريه ولدوافع انسانيه,N
في بنت  اخوا عندو سوتير مي و محل غاز و في عندي صديق موظف بالكهربا,N
شو كيم كورداشيان احسن منو,N
والله صرنا عايشين متل اهل الكهف,G
بسكوت المجرة,N
حسب اذا متفقين عمواصفات البضاعة بحقلو لان من غشنا ليس منا ام اذا اخد مشايلة مابحقلو,G
وين  عم جيبا بي,N
أحلى ناس  كل عام و أنتم بخير,P
اسا هلق نزل  تفاعليا اخي نحنا الحقوق واصلين,N
مبارك لك وانشاء الله تحقق حلمك,P
ولا عم يدور ع الاقامة الذهبية,N
حليب موز وأنا كنت مفكر طعمها ولا أروع بسوريا,N
هي الجزرة مشان يسكت الشعب عن رفع سعر البانزين خطة في منتهى الذكاء,G
ع فكرة والله فكرتو المكتبة المركزية,N
ولم يفرحني الخبر بقدر مااحزنني الاخطاء الاملائية الله يرحم الصيداوي ماشاف هالابداع,G
الله يعطيكم العافية فعلا صار النت اسرع,P
يعني لساتو الموظف شحاد مافرق عليه شي,G
اي هاه رجعنا ل آية  عقوبه مخففه قتل قصد بدافع الشفقه,G
ماضعت بس نسيوني اخواتي بالروضة,N
مافي منا بس هيا ماعاد بتريدنا الها ناسا,N
قال بيقلك بابا لو تبرعت فيون لناس محتاجة مو احسن من هالفزلكة,G
غيث لهون بدنا نروح,N
بالعرف جرت العادة أنو لا تقبل,N
الله لا يباركلو بهالمنصب لحق الخرا يشوف,G
بس اطلع من هل بلد احلف يمين ما ادخلا,G
مش طايله اعملا,N
يعني مافي مجال تنزلي ع ضرة  يخربيتك,G
ليش معن يشترو بضائع سورية ليشترو فرنسية,N
ويلي حدو نجاح سفكوني,N
يحق له مالا يحق لغيره ولازم يشوف الرموش و يعمل اختبار للفم والخدود والشعر ممكن وصلات,N
بس اخد وحده بل  سنه,N
هيك بتخيلك,N
لكن لخمسميت الف مو اجرام وسرقا ونصب الغو شغلت جمركي متل اول شو هل نصب ولحتيال وتفاها قال حبس وغرامي هادشاطرين في لهط مصاري من هل عالم,G
بسبب الرعي الجائر وانجراف التربة وهجرة ابنا الريف الى المدينة,N
ماحدا مسؤول عزرائيل ناطر هاليوم بفارغ الصبر وكانت المساعدة من الجميع وتم القضاء على محمد يخرب بيتو اربع تدخلات حتى مات,G
والخمسة مليون بترجع ام لا,N
بروح بمثل ع رفئاتي وبتقمص أدوار و بهالحالة بكون انا روئت شوي وضحكت غيري بهضامتي,N
الجرم المرتكب انو بعتتلو صورها يلي بدو يلعب بالنار ما بقول اح,N
انا يمكن اكتر حدا بيتنمرو عليه لعالم مشان لهجتو وبالاخص لانو بحكي بالقاف وبصيرو يتبالدو وانا هالشي بيزعجني يا بقلن خلص لو سمحتو حاج تتمسخرو يا اما بتركن وبمشي وبقلن ماني شغل نياصة وشغل الئاف والحيونة,G
وين الحماية الإعلامية,N
احد ثمار الانتصار على القرهابيين,N
واذا شب كمان بيمكيجو,N
لا مانع طالما يمتلك اهليه الشهادة بغض النظر عن مهنته,N
بالصيف لان شوب و فش الكهربا و محدا طايق حدا و لا عاد تحكي منشان ما اقتلك هيك يعني شايف كييف,G
الله يخليلي هيومتي واخواتا يارب,P
العنوان والهاتف لو سمحت,P
ولك بكون عمرو  سنين بكون مرتبط هلا جاي بدك واحد منو حابب روحي عند شي واحد ربي وخلي يحبك احسن لان هلا مابتلائي مو حابب بتلائي عند  بس عم يتسلا,G
هات شي كيلين لندوقن,N
عنجد اطيب فطاير,P
مافي حل غير تنطر فرج الله,G
عم تفكرو تحطو رأس حربة يعني,N
والله ليموتوك النسويات يا فقير,G
بتكون قاعد بأمان الله فجأة بتلاقي حالك قاتل ستك كرمال أسوارها والله ما يشوف بابا البوست ليدبك ع راسي للصبح,G
لسا من شوي كانت الزفة بالشام,N
شو هالأخ الطنط الي بيسمع كلام مرته لك,G
باااطل هاد الحكي مابينحكا مع واحد متلي طبعا لا ولا مادة,N
لك لو معبي الميغات بالحرام ما بطلعلي هالمنشور لاشت معدتي,G
لي ملعب خالد ابن الوليد جاهز,N
و من وين جايب هالدراسة,N
والحشا لو مانك متحرش متلو مابتررلو,G
بيجنن الله يهني صحابو,P
تصبح عليك,N
احلى مستشارة ودليل محبة كمان,P
بدها تصفيق حار الشعب بمنظوركم قطيع من البقر يا بنت اللذين قصدك الشعب هلاء لازم يدفع فاتورة الحرب لروسيا ولايران الله ياخدكم,G
يا ربي شو حلوة الفكرة,P
بينعفا بس بضل تحت تدبير احترازي لان بشكل خطر عسلامة المجتمع بينحط بمصحة عقلية,N
اي بس مو هون,N
عائشة قربي,N
ايمن شحادة تذكرت شغلة,N
هاي السالفة,N
لكن بتتعاقب هية واخوا فورا عالسجن,G
تكد امي,N
بسبب امو لانها لو مو داعيه عليه مابيصير معو كل هاد,G
ولي لتردو على هيك تعليقات,N
لا ما انجبرت بس المشكلة الانسان شرير بطبعو بس يبلش القطيع يتنمر مابيحس غير انجر معهن لهيك لازم يضل منتبه عهالقصة ومايسمح لحالو يتاخد بالحالة,G
الدنيا بلا مكدوس ما بتنعاش,N
لو برجع فيي الزمن كنت رحت ع الجيش اكيد,N
برجع بختار اسمي,N
مو هاد السد الي رحنا عليه,N
و بركي بعد ما تعذبو و شلعو عيونو للقتيل طلع القاتل مخبي وجهو,G
الأخ وش بيعبد حتى جايب بالدين,N
بتحتاج  ل  لوح حسب المكيف و بيشتغل فقط وقت النهار وكلفتهم بس ألواح بتراوح بحدود  مليون مبلغ خنفشاري مقارنة بالرواتب الحلوة,N
بحب اسمي برجع اختارو,P
هلا صار عندو علة نفسية,G
حطنا ببالو خلص قربت,N
ما تركو عملة ولا لزقوها فيكي,G
والله الكرامه صايرين يتعاقدو كيف ماكان,G
هي مو اسما نظافه هي اسما البيت فاضي مافي شي من مستلزمات البني ادمين ياعيني,G
كتير بحبااا,P
اذا رضا حماتي من رضى الله لكن الله لايرضا عليي,G
بتتذكري وقت ضعت,N
اللهم ان كان هذا سحرآ فأبطله,N
مو مهم العقوبه المهم تكون عنجد حلوة,N
